OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
01-01-2017,12/13/2003,SO61285,529,23791,1,2,2
01-01-2017,9/24/2003,SO61285,214,23791,1,3,1
01-01-2017,09-04-2003,SO61285,540,23791,1,1,1
01-01-2017,9/28/2003,SO61301,529,16747,1,2,2
01-01-2017,10/21/2003,SO61301,377,16747,1,1,1
01-01-2017,10/23/2003,SO61301,540,16747,1,3,1
01-01-2017,09-04-2003,SO61269,215,11792,4,1,1
01-01-2017,10/21/2003,SO61269,229,11792,4,2,1
01-01-2017,10/24/2003,SO61286,528,11530,6,2,2
01-01-2017,9/27/2003,SO61286,536,11530,6,1,2
01-01-2017,10/23/2003,SO61298,530,18155,10,1,2
01-01-2017,12-02-2003,SO61298,214,18155,10,3,1
01-01-2017,12/15/2003,SO61298,223,18155,10,2,1
01-01-2017,10-01-2003,SO61310,538,13541,8,2,2
01-01-2017,11-08-2003,SO61310,584,13541,8,1,1
01-01-2017,12-06-2003,SO61270,485,18259,9,1,2
01-01-2017,10/31/2003,SO61289,528,23694,1,1,2
01-01-2017,11/16/2003,SO61289,536,23694,1,2,2
01-01-2017,11/20/2003,SO61289,215,23694,1,3,1
01-01-2017,10-12-2003,SO61278,477,22308,10,3,2
01-01-2017,9/28/2003,SO61278,479,22308,10,2,1
01-01-2017,12-10-2003,SO61278,488,22308,10,4,1
01-01-2017,9/25/2003,SO61278,580,22308,10,1,1
01-01-2017,10-01-2003,SO61305,583,20236,9,1,1
01-01-2017,9/13/2003,SO61283,529,26273,1,2,2
01-01-2017,9/27/2003,SO61283,538,26273,1,1,2
01-01-2017,09-03-2003,SO61283,220,26273,1,3,1
01-01-2017,11/23/2003,SO61288,528,19709,6,1,2
01-01-2017,10/30/2003,SO61288,536,19709,6,2,2
01-01-2017,11/21/2003,SO61288,220,19709,6,3,1
01-01-2017,11-05-2003,SO61272,480,21239,9,2,2
01-01-2017,09-08-2003,SO61272,528,21239,9,1,2
01-01-2017,11/16/2003,SO61276,223,17252,9,2,3
01-01-2017,10/31/2003,SO61276,488,17252,9,1,1
01-01-2017,10/21/2003,SO61294,477,17396,4,1,2
01-01-2017,10/21/2003,SO61294,484,17396,4,2,2
01-01-2017,09-08-2003,SO61274,223,27148,9,1,3
01-01-2017,10-08-2003,SO61274,475,27148,9,2,1
01-01-2017,11-03-2003,SO61307,215,20260,9,2,1
01-01-2017,10-06-2003,SO61307,582,20260,9,1,1
01-01-2017,11-06-2003,SO61279,485,12859,10,2,2
01-01-2017,12/14/2003,SO61279,362,12859,10,1,1
01-01-2017,11/13/2003,SO61271,538,20454,9,1,2
01-01-2017,9/23/2003,SO61271,480,20454,9,2,1
01-01-2017,9/15/2003,SO61295,480,14751,1,2,2
01-01-2017,12-03-2003,SO61295,528,14751,1,1,2
01-01-2017,12-07-2003,SO61284,480,27477,4,2,2
01-01-2017,11-01-2003,SO61284,538,27477,4,1,2
01-01-2017,11-02-2003,SO61290,478,23011,4,1,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
